MOFA_Factor1,MOFA_Factor2,MOFA_Factor3,MOFA_Factor4,MOFA_Factor5,MOFA_Factor6,MOFA_Factor7,MOFA_Factor8,MOFA_Factor9,MOFA_Factor10,MOFA_Factor11,MOFA_Factor12,MOFA_Factor13,MOFA_Factor14,MOFA_Factor15,MOFA_Factor16,MOFA_Factor17,MOFA_Factor18,CT_adrenocortical cancer,CT_bladder urothelial carcinoma,CT_brain lower grade glioma,CT_breast invasive carcinoma,CT_cervical & endocervical cancer,CT_cholangiocarcinoma,CT_colon adenocarcinoma,CT_diffuse large B-cell lymphoma,CT_esophageal carcinoma,CT_glioblastoma multiforme,CT_head & neck squamous cell carcinoma,CT_kidney chromophobe,CT_kidney clear cell carcinoma,CT_kidney papillary cell carcinoma,CT_liver hepatocellular carcinoma,CT_lung adenocarcinoma,CT_lung squamous cell carcinoma,CT_mesothelioma,CT_ovarian serous cystadenocarcinoma,CT_pancreatic adenocarcinoma,CT_pheochromocytoma & paraganglioma,CT_prostate adenocarcinoma,CT_rectum adenocarcinoma,CT_sarcoma,CT_stomach adenocarcinoma,CT_testicular germ cell tumor,CT_thymoma,CT_thyroid carcinoma,CT_uterine carcinosarcoma,CT_uterine corpus endometrioid carcinoma,CT_uveal melanoma,age_at_dx
0.11286558,0.026434287,0.053159956,-0.024209715,0.07211875,0.014603443,-0.02845248,0.3030134,0.205104,0.0638343,0.13327427,0.027963366,0.028001817,0.034218546,-0.03717831,0.078778476,0.082124546,0.18965174,-0.0009487618,-0.021081664,-0.0006798876,0.06008367,0.002157451,-0.0003638753,0.0010825403,9.4881965e-05,-0.015335821,1.3514279,-0.0013239167,0.002800339,-0.0012973689,-0.00016580542,-5.947576e-05,-0.017314052,0.0023998467,-0.0147651285,-0.00010985686,-0.0037225087,0.01864835,0.034925092,0.0022806074,0.0012247432,-0.037194412,0.02053174,0.0123663135,0.02292983,-0.0036474338,0.012674063,0.0015676954,-0.24984641
-0.123082764,0.0071886424,0.012729179,-0.018291108,0.06976335,-0.050546456,-0.034599725,0.02949977,-0.10190503,0.035277355,-0.1514616,-0.05652941,0.062101077,0.016367568,-0.19190195,-0.029636983,0.04300256,0.032768115,-0.0008114295,-0.017660096,-0.010648931,0.05667493,0.0032399741,-0.0001148185,0.0011736335,8.306578e-05,-0.014509442,-0.038015284,-0.0019289919,0.0028724307,-0.0007859935,-0.00016526954,-4.7260197e-05,-0.018325685,0.00045242044,-0.020871991,-0.00010933407,-0.0042138235,0.017293587,0.031510696,0.0020336022,0.000194806,-0.037406176,0.020590143,0.013007714,0.02193944,-0.0040943194,0.010994274,0.0013221236,-1.0642942
-0.00667701,0.009297045,0.053294603,0.15864767,0.0032738347,0.12570497,-0.04519985,0.6196366,0.1332003,-0.00259496,0.18030865,-0.019955,0.1913817,0.05875507,0.088502035,0.08128375,0.0892119,0.005084072,-0.00031198072,-0.019444324,0.002659983,0.050855182,-0.1432422,-0.00048483635,0.0011371832,9.5035255e-05,-0.012087209,-0.035257075,-0.00071888877,0.003061864,-0.0012126428,-1.0656877e-05,-0.00058172015,-0.019514952,0.0027004506,-0.021352107,-0.00023142435,-0.011335702,0.013044584,0.03411145,0.0026401398,0.004813477,-0.024222711,0.024982836,0.011411988,0.019647336,-0.0030294482,0.0075503387,0.0011489874,-0.12659682
-0.006229252,0.06216822,-0.02019964,-0.02214341,0.014607559,0.42413723,0.018085673,-0.20360398,-0.12288792,0.032165878,-0.046023224,0.021533605,0.028124932,-0.33353347,-0.04649715,-0.028602546,0.101289585,-0.10685431,-0.0002159073,-0.019338537,-0.002202179,0.08773741,0.009021506,-0.000478397,0.0028795837,9.5035255e-05,-0.0159901,-0.030008137,-0.0013252908,0.002640676,-0.000697885,-0.00039000495,-0.00065228774,0.1309857,-0.005510966,-0.020700336,-0.00023142435,-0.0055049057,0.012439115,0.044505622,0.0029117032,0.0021449379,-0.029598754,0.032019965,0.011941967,0.017131029,-0.0035259614,0.008475456,0.0016406965,-0.21170805
0.08522933,-0.035761103,0.0064499425,-0.12154521,-0.061133884,0.12073665,0.02147083,0.15246,0.0011303353,0.14399336,-0.257663,0.08906606,-0.21112272,-0.05378292,0.07157923,0.018132038,-0.2199473,0.09276986,-0.00031495088,-0.020787373,9.137532e-05,0.04529879,0.0040245187,-0.00054989546,-0.022537543,9.5035255e-05,-0.015697893,-0.028889168,-0.0010853042,0.002928328,-0.00013622986,-0.000111665526,-0.00055021583,-0.009772822,-0.004795921,-0.016914336,-0.00023142435,-0.014812247,0.0129353255,0.03745394,0.00196859,0.003914994,-0.03102476,0.017905887,0.010104631,0.012662965,-0.0038361948,0.011078867,0.0010423023,0.38457128
-0.06340339,0.05484643,-0.077359825,-0.061473634,0.11613223,0.3014347,0.033394653,-0.11370651,0.18518849,-0.14077644,0.120616905,-0.014773456,0.0013132822,0.08812822,0.17890391,0.0107744895,0.11104439,-0.07371435,-0.00024647062,-0.016141113,-0.0012497604,-0.75394636,0.0036054023,-0.0004350131,0.0012585141,9.5035255e-05,-0.011975188,-0.02917615,-0.00061045523,0.0025171647,-0.001409923,-0.00019208076,-0.00090518704,-0.014985058,-0.0063084667,-0.025791492,-0.00017057688,-0.005513449,0.00958615,0.027681343,0.002372847,0.004491902,-0.02665835,0.025374707,0.009749097,0.014890642,-0.003076046,0.0115388315,0.0009476364,-0.5520522
0.07287596,-0.060657304,0.016368812,-0.052305494,0.037099868,0.16270569,-0.011416215,-0.6815073,-0.07684547,0.04405896,0.0066993246,0.05976254,-0.0013590126,0.05995011,0.016190665,0.010624934,0.012308487,-0.04939119,-0.00026787547,-0.01616631,-0.0014471293,-1.1163181,0.0038123403,-0.0005385881,0.00080671493,9.5035255e-05,-0.011685982,-0.025077555,-0.00036572575,0.00252424,-0.0014046717,-0.00039618532,-0.0006386197,-0.01314458,-0.0065913154,-0.025061944,-0.00011180775,-0.0075914585,0.010164683,0.029024316,0.003058642,0.004757323,-0.035742674,0.021007078,0.010387194,0.014787868,-0.002073074,0.0074489345,0.0011391495,-0.33403304
-0.1291046,-0.068624705,0.025079928,-0.031181477,-0.04353533,-0.20584016,-0.030754691,0.66250086,0.28511077,0.04194584,0.06356313,-0.5658706,0.106212474,0.019375963,-0.13838913,-0.15733986,-0.0881844,-0.17857109,-0.00035178286,-0.016526388,0.0007118248,0.042616185,-0.13724497,-0.0004910655,0.0014443734,9.5035255e-05,-0.013267107,-0.030524608,-0.0024118202,0.0025461356,-0.001316296,-1.0071817e-05,-0.00058161624,-0.019641161,0.0023214659,-0.016821243,-0.00023142435,-0.010403273,0.01728975,0.031512067,0.0019914375,5.9970298e-05,-0.020037917,0.019182576,0.010666672,0.02044032,-0.0041380245,0.011127195,0.0011322944,-0.69785947
0.24186867,-0.0063567157,0.016616387,-0.040703747,-0.06619866,0.2744053,0.014823268,-0.47280887,-0.09045948,0.01681422,0.06834983,-0.04568456,-0.092335425,-0.03364602,0.062027868,0.004635334,0.04596342,0.07474644,-0.00024527992,-0.007433765,-0.0007988064,0.070117556,0.006414825,-0.0006760026,0.00012943812,8.181572e-05,-0.007674097,-0.028328303,-0.0004975744,0.0031207572,-0.0003493223,-0.00036959918,-0.0015806269,0.16963625,-0.003683797,-0.025579808,-0.00017265521,-0.008086572,0.012318467,0.039761793,0.0031361103,0.004072072,-0.03010068,0.029435305,0.012767131,0.020903196,-0.0027042972,0.00824552,0.00080159155,-0.3215079
-0.01583088,-0.06051365,-0.030070415,-0.087205075,-0.056326706,0.391592,-0.009068157,0.26061988,0.03942452,-0.059533026,-0.021525739,-0.034249265,0.052980997,-0.04162556,-0.02454177,0.04585545,-0.10644716,-0.06810132,-0.0002461229,-0.015522732,-0.0002806685,0.04477204,0.0036393043,-0.00047704254,0.001704124,8.181572e-05,0.47938803,-0.029776044,-0.0020175881,0.0027687277,-0.00019699687,-5.7777535e-05,-0.0014968633,-0.016199669,-0.0069155134,-0.019439623,-0.00023142435,-0.013507046,0.011730763,0.035238083,0.0027809541,0.0021291282,-0.013876571,0.026173804,0.011137658,0.01947992,-0.0041157673,0.01248323,0.001244228,-0.14205939
